$numOfClient,$avgResponseTime,$overall_throughput,$overall_request_rate,$overall_error_rate,$overall_timeout_rate,$request_rate_sent,$active_threads,$cpu_utilization
1,.66,.60,.60,0,0,.60,12.00,2.87
2,.66,1.20,1.20,0,0,1.20,12.00,10.66
3,1.00,1.50,1.50,0,0,1.50,12.00,17.25
4,1.33,1.68,1.68,0,0,1.68,12.00,12.70
5,1.66,1.85,1.85,0,0,1.85,12.00,27.64
6,1.66,2.22,2.22,0,0,2.22,12.00,32.17
7,2.00,2.31,2.31,0,0,2.31,12.00,32.68
8,2.00,2.64,2.64,0,0,2.64,12.00,41.10
9,2.62,2.46,2.46,0,0,2.46,12.00,27.86
10,3.00,2.50,2.50,0,0,2.50,12.00,32.37
11,3.33,2.53,2.53,0,0,2.53,12.00,32.20
12,3.33,2.76,2.76,0,0,2.76,12.00,37.28
13,3.66,2.73,2.73,0,0,2.73,12.00,30.77
14,3.95,2.82,2.82,0,0,2.82,12.00,38.20
15,4.08,2.90,2.90,0,0,2.90,12.00,35.97
16,4.14,3.05,3.05,0,0,3.05,12.00,35.62
17,4.21,3.17,3.17,0,0,3.17,12.00,37.17
18,4.79,3.02,3.02,0,0,3.02,12.00,38.94
19,4.78,3.19,3.19,0,0,3.19,12.00,32.50
20,5.18,3.10,3.10,0,0,3.10,12.00,43.15
21,5.67,3.08,3.18,0,.10,3.18,12.00,40.88
22,5.98,3.07,3.17,0,.10,3.17,12.00,40.77
23,7.38,2.82,3.12,0,.45,3.27,12.00,44.19
24,7.30,2.85,3.26,0,.46,3.31,12.00,42.17
25,7.33,2.86,3.30,0,.40,3.26,12.00,40.36
26,7.50,2.93,3.45,0,.51,3.44,12.00,43.11
27,7.91,2.88,3.36,0,.43,3.31,12.00,40.10
28,8.16,2.84,3.74,0,.87,3.71,12.00,45.41
29,8.35,2.85,3.88,0,.98,3.83,12.00,40.96
30,8.38,2.64,4.13,0,1.48,4.12,12.00,47.43
