$numOfClient,$avgResponseTime,$overall_throughput,$overall_request_rate,$overall_error_rate,$overall_timeout_rate,$request_rate_sent,$active_threads,$cpu_utilization
1,1.33,.42,.42,0,0,.42,1.5,11.5
2,1.66,.74,.74,0,0,.74,1.0,12.0
3,2.00,.99,.99,0,0,.99,3.0,13.0
4,2.33,1.20,1.20,0,0,1.20,3.0,16.0
5,2.66,1.35,1.35,0,0,1.35,3.5,26.66
6,3.00,1.50,1.50,0,0,1.50,4.0,50.33
7,3.66,1.47,1.47,0,0,1.47,4.5,64.33
8,4.00,1.60,1.60,0,0,1.60,5.0,78.0
9,4.33,1.62,1.62,0,0,1.62,5.5,79.0
10,5.00,1.60,1.60,0,0,1.60,
10,5.00,1.60,1.60,0,0,1.60
10,5.33,1.50,1.50,0,0,1.50
